"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test","Creating token.","SUCCESS","2023-06-06T21:07:05.459+01:00[Europe/London]","0.0","4.8"
"CRUD test","Creating booking and verifying booking created.","SUCCESS","2023-06-06T21:07:10.407+01:00[Europe/London]","0.0","0.9"
"CRUD test","Getting All IDs.","SUCCESS","2023-06-06T21:07:11.310+01:00[Europe/London]","0.0","0.84"
"CRUD test","Getting Single ID.","SUCCESS","2023-06-06T21:07:12.150+01:00[Europe/London]","0.0","0.52"
"CRUD test","Updating Single ID.","SUCCESS","2023-06-06T21:07:12.675+01:00[Europe/London]","0.0","1.07"
"CRUD test","Deleting the ID and verifying deletion.","SUCCESS","2023-06-06T21:07:13.746+01:00[Europe/London]","0.0","1.05"
